time,model,order_number,instrument_id,price,amount
2016-06-02 23:26:57,BTC_TREND_DASH,15320248440,BTC_DASH,0.015071,0.26743
2016-06-02 23:26:59,BTC_TREND_ETH,63614530939,BTC_ETH,0.0259616,0.15525
2016-06-02 23:27:00,BTC_TREND_LTC,14858824352,BTC_LTC,0.00879499,0.45827
