model,instrument_type,instrument,quandl_id
EQUITY_TREND_CHK,CHK,STOCK,YAHOO/CHK
EQUITY_TREND_CVX,CVX,STOCK,YAHOO/CVX
EQUITY_TREND_CMG,CMG,STOCK,YAHOO/CMG
EQUITY_TREND_CB,CB,STOCK,YAHOO/CB
EQUITY_TREND_CHD,CHD,STOCK,YAHOO/CHD
EQUITY_TREND_CI,CI,STOCK,YAHOO/CI
EQUITY_TREND_XEC,XEC,STOCK,YAHOO/XEC
EQUITY_TREND_CINF,CINF,STOCK,YAHOO/CINF
EQUITY_TREND_CTAS,CTAS,STOCK,YAHOO/CTAS
EQUITY_TREND_CSCO,CSCO,STOCK,YAHOO/CSCO
EQUITY_TREND_C,C,STOCK,YAHOO/C
EQUITY_TREND_CTXS,CTXS,STOCK,YAHOO/CTXS
EQUITY_TREND_CLX,CLX,STOCK,YAHOO/CLX
EQUITY_TREND_CME,CME,STOCK,YAHOO/CME
EQUITY_TREND_CMS,CMS,STOCK,YAHOO/CMS
EQUITY_TREND_COH,COH,STOCK,YAHOO/COH
EQUITY_TREND_KO,KO,STOCK,YAHOO/KO
EQUITY_TREND_CCE,CCE,STOCK,YAHOO/CCE
EQUITY_TREND_CTSH,CTSH,STOCK,YAHOO/CTSH
EQUITY_TREND_CL,CL,STOCK,YAHOO/CL
EQUITY_TREND_CPGX,CPGX,STOCK,YAHOO/CPGX
EQUITY_TREND_CMCSA,CMCSA,STOCK,YAHOO/CMCSA
EQUITY_TREND_CMA,CMA,STOCK,YAHOO/CMA
EQUITY_TREND_CAG,CAG,STOCK,YAHOO/CAG
EQUITY_TREND_CXO,CXO,STOCK,YAHOO/CXO
EQUITY_TREND_COP,COP,STOCK,YAHOO/COP
EQUITY_TREND_ED,ED,STOCK,YAHOO/ED
EQUITY_TREND_STZ,STZ,STOCK,YAHOO/STZ
EQUITY_TREND_GLW,GLW,STOCK,YAHOO/GLW
EQUITY_TREND_COST,COST,STOCK,YAHOO/COST
EQUITY_TREND_CCI,CCI,STOCK,YAHOO/CCI
EQUITY_TREND_CSRA,CSRA,STOCK,YAHOO/CSRA
EQUITY_TREND_CSX,CSX,STOCK,YAHOO/CSX
EQUITY_TREND_CMI,CMI,STOCK,YAHOO/CMI
EQUITY_TREND_CVS,CVS,STOCK,YAHOO/CVS
EQUITY_TREND_DHI,DHI,STOCK,YAHOO/DHI
EQUITY_TREND_DHR,DHR,STOCK,YAHOO/DHR
EQUITY_TREND_DRI,DRI,STOCK,YAHOO/DRI
EQUITY_TREND_DVA,DVA,STOCK,YAHOO/DVA
EQUITY_TREND_DE,DE,STOCK,YAHOO/DE
EQUITY_TREND_DLPH,DLPH,STOCK,YAHOO/DLPH
EQUITY_TREND_DAL,DAL,STOCK,YAHOO/DAL
EQUITY_TREND_XRAY,XRAY,STOCK,YAHOO/XRAY
EQUITY_TREND_DVN,DVN,STOCK,YAHOO/DVN
EQUITY_TREND_DO,DO,STOCK,YAHOO/DO
EQUITY_TREND_DFS,DFS,STOCK,YAHOO/DFS
EQUITY_TREND_DISCA,DISCA,STOCK,YAHOO/DISCA
EQUITY_TREND_DISCK,DISCK,STOCK,YAHOO/DISCK
EQUITY_TREND_DG,DG,STOCK,YAHOO/DG
EQUITY_TREND_DLTR,DLTR,STOCK,YAHOO/DLTR
EQUITY_TREND_D,D,STOCK,YAHOO/D
EQUITY_TREND_DOV,DOV,STOCK,YAHOO/DOV
EQUITY_TREND_DOW,DOW,STOCK,YAHOO/DOW
EQUITY_TREND_DPS,DPS,STOCK,YAHOO/DPS
EQUITY_TREND_DTE,DTE,STOCK,YAHOO/DTE
EQUITY_TREND_DD,DD,STOCK,YAHOO/DD
EQUITY_TREND_DUK,DUK,STOCK,YAHOO/DUK
EQUITY_TREND_DNB,DNB,STOCK,YAHOO/DNB
EQUITY_TREND_ETFC,ETFC,STOCK,YAHOO/ETFC
EQUITY_TREND_EMN,EMN,STOCK,YAHOO/EMN
EQUITY_TREND_ETN,ETN,STOCK,YAHOO/ETN
