model,instrument_type,instrument,quandl_id
EQUITY_TREND_SRCL,SRCL,STOCK,YAHOO/SRCL
EQUITY_TREND_SYK,SYK,STOCK,YAHOO/SYK
EQUITY_TREND_STI,STI,STOCK,YAHOO/STI
EQUITY_TREND_SYMC,SYMC,STOCK,YAHOO/SYMC
EQUITY_TREND_SYF,SYF,STOCK,YAHOO/SYF
EQUITY_TREND_SYY,SYY,STOCK,YAHOO/SYY
EQUITY_TREND_TROW,TROW,STOCK,YAHOO/TROW
EQUITY_TREND_TGT,TGT,STOCK,YAHOO/TGT
EQUITY_TREND_TEL,TEL,STOCK,YAHOO/TEL
EQUITY_TREND_TE,TE,STOCK,YAHOO/TE
EQUITY_TREND_TGNA,TGNA,STOCK,YAHOO/TGNA
EQUITY_TREND_THC,THC,STOCK,YAHOO/THC
EQUITY_TREND_TDC,TDC,STOCK,YAHOO/TDC
EQUITY_TREND_TSO,TSO,STOCK,YAHOO/TSO
EQUITY_TREND_TXN,TXN,STOCK,YAHOO/TXN
EQUITY_TREND_TXT,TXT,STOCK,YAHOO/TXT
EQUITY_TREND_HSY,HSY,STOCK,YAHOO/HSY
EQUITY_TREND_TRV,TRV,STOCK,YAHOO/TRV
EQUITY_TREND_TMO,TMO,STOCK,YAHOO/TMO
EQUITY_TREND_TIF,TIF,STOCK,YAHOO/TIF
EQUITY_TREND_TWX,TWX,STOCK,YAHOO/TWX
EQUITY_TREND_TWC,TWC,STOCK,YAHOO/TWC
EQUITY_TREND_TJX,TJX,STOCK,YAHOO/TJX
EQUITY_TREND_TMK,TMK,STOCK,YAHOO/TMK
EQUITY_TREND_TSS,TSS,STOCK,YAHOO/TSS
EQUITY_TREND_TSCO,TSCO,STOCK,YAHOO/TSCO
EQUITY_TREND_RIG,RIG,STOCK,YAHOO/RIG
EQUITY_TREND_TRIP,TRIP,STOCK,YAHOO/TRIP
EQUITY_TREND_FOXA,FOXA,STOCK,YAHOO/FOXA
EQUITY_TREND_FOX,FOX,STOCK,YAHOO/FOX
EQUITY_TREND_TSN,TSN,STOCK,YAHOO/TSN
EQUITY_TREND_TYC,TYC,STOCK,YAHOO/TYC
EQUITY_TREND_UDR,UDR,STOCK,YAHOO/UDR
EQUITY_TREND_USB,USB,STOCK,YAHOO/USB
EQUITY_TREND_UA,UA,STOCK,YAHOO/UA
EQUITY_TREND_UNP,UNP,STOCK,YAHOO/UNP
EQUITY_TREND_UAL,UAL,STOCK,YAHOO/UAL
EQUITY_TREND_UNH,UNH,STOCK,YAHOO/UNH
EQUITY_TREND_UPS,UPS,STOCK,YAHOO/UPS
EQUITY_TREND_URI,URI,STOCK,YAHOO/URI
EQUITY_TREND_UTX,UTX,STOCK,YAHOO/UTX
EQUITY_TREND_UHS,UHS,STOCK,YAHOO/UHS
EQUITY_TREND_UNM,UNM,STOCK,YAHOO/UNM
EQUITY_TREND_URBN,URBN,STOCK,YAHOO/URBN
EQUITY_TREND_VFC,VFC,STOCK,YAHOO/VFC
EQUITY_TREND_VLO,VLO,STOCK,YAHOO/VLO
EQUITY_TREND_VAR,VAR,STOCK,YAHOO/VAR
EQUITY_TREND_VTR,VTR,STOCK,YAHOO/VTR
EQUITY_TREND_VRSN,VRSN,STOCK,YAHOO/VRSN
EQUITY_TREND_VRSK,VRSK,STOCK,YAHOO/VRSK
EQUITY_TREND_VZ,VZ,STOCK,YAHOO/VZ
EQUITY_TREND_VRTX,VRTX,STOCK,YAHOO/VRTX
EQUITY_TREND_VIAB,VIAB,STOCK,YAHOO/VIAB
EQUITY_TREND_V,V,STOCK,YAHOO/V
EQUITY_TREND_VNO,VNO,STOCK,YAHOO/VNO
EQUITY_TREND_VMC,VMC,STOCK,YAHOO/VMC
EQUITY_TREND_WMT,WMT,STOCK,YAHOO/WMT
EQUITY_TREND_WBA,WBA,STOCK,YAHOO/WBA
EQUITY_TREND_DIS,DIS,STOCK,YAHOO/DIS
EQUITY_TREND_WM,WM,STOCK,YAHOO/WM
EQUITY_TREND_WAT,WAT,STOCK,YAHOO/WAT
EQUITY_TREND_ANTM,ANTM,STOCK,YAHOO/ANTM
EQUITY_TREND_WFC,WFC,STOCK,YAHOO/WFC
EQUITY_TREND_HCN,HCN,STOCK,YAHOO/HCN
EQUITY_TREND_WDC,WDC,STOCK,YAHOO/WDC
EQUITY_TREND_WU,WU,STOCK,YAHOO/WU
EQUITY_TREND_WY,WY,STOCK,YAHOO/WY
EQUITY_TREND_WHR,WHR,STOCK,YAHOO/WHR
EQUITY_TREND_WFM,WFM,STOCK,YAHOO/WFM
EQUITY_TREND_WMB,WMB,STOCK,YAHOO/WMB
EQUITY_TREND_WLTW,WLTW,STOCK,YAHOO/WLTW
EQUITY_TREND_WEC,WEC,STOCK,YAHOO/WEC
EQUITY_TREND_WYN,WYN,STOCK,YAHOO/WYN
EQUITY_TREND_WYNN,WYNN,STOCK,YAHOO/WYNN
EQUITY_TREND_XEL,XEL,STOCK,YAHOO/XEL
EQUITY_TREND_XRX,XRX,STOCK,YAHOO/XRX
EQUITY_TREND_XLNX,XLNX,STOCK,YAHOO/XLNX
EQUITY_TREND_XL,XL,STOCK,YAHOO/XL
EQUITY_TREND_XYL,XYL,STOCK,YAHOO/XYL
EQUITY_TREND_YHOO,YHOO,STOCK,YAHOO/YHOO
EQUITY_TREND_YUM,YUM,STOCK,YAHOO/YUM
EQUITY_TREND_ZBH,ZBH,STOCK,YAHOO/ZBH
EQUITY_TREND_ZION,ZION,STOCK,YAHOO/ZION
EQUITY_TREND_ZTS,ZTS,STOCK,YAHOO/ZTS
