model,position,avg_open_price,last_price,unrealized_pnl,realized_pnl,total_pnl
BTC_TREND_FCT,0.0,0.0000000000,225786.0000000000,0.0,0.0,0.0
BTC_TREND_LTC,0.0,0.0000000000,616000.0000000000,0.0,0.0,0.0
BTC_TREND_XMR,0.0,289693.0000000000,289616.0000000000,-0.0,-8.21617349724e+11,-8.21617349724e+11
BTC_TREND_DAO,0.0,20162.7632810779,19861.0000000000,-0.0,-7.10041589803e+11,-7.10041589803e+11
BTC_TREND_DASH,0.0,1403099.0000000000,1414284.0000000000,0.0,-2.72123321766e+11,-2.72123321766e+11
BTC_TREND_STEEM,0.0,552821.8759362564,541407.0000000000,-0.0,-2.26496995377e+12,-2.26496995377e+12
BTC_TREND_LSK,0.0,0.0000000000,43199.0000000000,0.0,0.0,0.0
BTC_TREND_ETH,0.0,1980000.0000000000,1967048.9999999998,-0.0,-1.56664955643e+11,-1.56664955643e+11
