model,currency,current_position
BTC_TREND_MCN,MCN,0.00000000
BTC_TREND_MEC,MEC,0.00000000
BTC_TREND_METH,METH,0.00000000
BTC_TREND_MIL,MIL,0.00000000
BTC_TREND_MIN,MIN,0.00000000
BTC_TREND_MINT,MINT,0.00000000
BTC_TREND_MMC,MMC,0.00000000
BTC_TREND_MMNXT,MMNXT,0.00000000
BTC_TREND_MMXIV,MMXIV,0.00000000
BTC_TREND_MNTA,MNTA,0.00000000
BTC_TREND_MON,MON,0.00000000
BTC_TREND_MRC,MRC,0.00000000
BTC_TREND_MRS,MRS,0.00000000
BTC_TREND_MTS,MTS,0.00000000
BTC_TREND_MUN,MUN,0.00000000
BTC_TREND_MYR,MYR,0.00000000
BTC_TREND_MZC,MZC,0.00000000
BTC_TREND_N5X,N5X,0.00000000
BTC_TREND_NAS,NAS,0.00000000
BTC_TREND_NAUT,NAUT,0.00000000
BTC_TREND_NAV,NAV,0.00000000
BTC_TREND_NBT,NBT,0.00000000
BTC_TREND_NEOS,NEOS,0.00000000
BTC_TREND_NL,NL,0.00000000
BTC_TREND_NMC,NMC,0.00000000
BTC_TREND_NOBL,NOBL,0.00000000
BTC_TREND_NOTE,NOTE,0.00000000
BTC_TREND_NOXT,NOXT,0.00000000
BTC_TREND_NRS,NRS,0.00000000
BTC_TREND_NSR,NSR,0.00000000
BTC_TREND_NTX,NTX,0.00000000
BTC_TREND_NXT,NXT,0.00000000
BTC_TREND_NXTI,NXTI,0.00000000
BTC_TREND_OMNI,OMNI,0.00000000
BTC_TREND_OPAL,OPAL,0.00000000
BTC_TREND_PAND,PAND,0.00000000
BTC_TREND_PAWN,PAWN,0.00000000
BTC_TREND_PIGGY,PIGGY,0.00000000
BTC_TREND_PINK,PINK,0.00000000
BTC_TREND_PLX,PLX,0.00000000
BTC_TREND_PMC,PMC,0.00000000
BTC_TREND_POT,POT,0.00000000
BTC_TREND_PPC,PPC,0.00000000
BTC_TREND_PRC,PRC,0.00000000
BTC_TREND_PRT,PRT,0.00000000
BTC_TREND_PTS,PTS,0.00000000
BTC_TREND_Q2C,Q2C,0.00000000
BTC_TREND_QBK,QBK,0.00000000
BTC_TREND_QCN,QCN,0.00000000
BTC_TREND_QORA,QORA,0.00000000
BTC_TREND_QTL,QTL,0.00000000
BTC_TREND_RADS,RADS,0.00000000
BTC_TREND_RBY,RBY,0.00000000
BTC_TREND_RDD,RDD,0.00000000
BTC_TREND_RIC,RIC,0.00000000
BTC_TREND_RZR,RZR,0.00000000
BTC_TREND_SC,SC,0.00000000
BTC_TREND_SDC,SDC,0.00000000
BTC_TREND_SHIBE,SHIBE,0.00000000
BTC_TREND_SHOPX,SHOPX,0.00000000
BTC_TREND_SILK,SILK,0.00000000
BTC_TREND_SJCX,SJCX,0.00000000
BTC_TREND_SLR,SLR,0.00000000
BTC_TREND_SMC,SMC,0.00000000
BTC_TREND_SOC,SOC,0.00000000
BTC_TREND_SPA,SPA,0.00000000
BTC_TREND_SQL,SQL,0.00000000
BTC_TREND_SRCC,SRCC,0.00000000
BTC_TREND_SRG,SRG,0.00000000
BTC_TREND_SSD,SSD,0.00000000
BTC_TREND_STR,STR,0.00000000
BTC_TREND_SUM,SUM,0.00000000
BTC_TREND_SUN,SUN,0.00000000
BTC_TREND_SWARM,SWARM,0.00000000
BTC_TREND_SXC,SXC,0.00000000
BTC_TREND_SYNC,SYNC,0.00000000
BTC_TREND_SYS,SYS,0.00000000
BTC_TREND_TAC,TAC,0.00000000
BTC_TREND_TOR,TOR,0.00000000
BTC_TREND_TRUST,TRUST,0.00000000
BTC_TREND_TWE,TWE,0.00000000
BTC_TREND_UIS,UIS,0.00000000
BTC_TREND_ULTC,ULTC,0.00000000
BTC_TREND_UNITY,UNITY,0.00000000
BTC_TREND_URO,URO,0.00000000
BTC_TREND_USDE,USDE,0.00000000
BTC_TREND_USDT,USDT,0.00000000
BTC_TREND_UTC,UTC,0.00000000
BTC_TREND_UTIL,UTIL,0.00000000
BTC_TREND_UVC,UVC,0.00000000
BTC_TREND_VIA,VIA,0.00000000
BTC_TREND_VOOT,VOOT,0.00000000
BTC_TREND_VRC,VRC,0.00000000
BTC_TREND_VTC,VTC,0.00000000
BTC_TREND_WC,WC,0.00000000
BTC_TREND_WDC,WDC,0.00000000
BTC_TREND_WIKI,WIKI,0.00000000
BTC_TREND_WOLF,WOLF,0.00000000
BTC_TREND_X13,X13,0.00000000
BTC_TREND_XAI,XAI,0.00000000
BTC_TREND_XAP,XAP,0.00000000
BTC_TREND_XBC,XBC,0.00000000
BTC_TREND_XC,XC,0.00000000
BTC_TREND_XCH,XCH,0.00000000
BTC_TREND_XCN,XCN,0.00000000
BTC_TREND_XCP,XCP,0.00000000
BTC_TREND_XCR,XCR,0.00000000
BTC_TREND_XDN,XDN,0.00000000
BTC_TREND_XDP,XDP,0.00000000
BTC_TREND_XEM,XEM,0.00000000
BTC_TREND_XHC,XHC,0.00000000
BTC_TREND_XLB,XLB,0.00000000
BTC_TREND_XMG,XMG,0.00000000
BTC_TREND_XMR,XMR,0.00000000
BTC_TREND_XPB,XPB,0.00000000
BTC_TREND_XPM,XPM,0.00000000
BTC_TREND_XRP,XRP,0.00000000
BTC_TREND_XSI,XSI,0.00000000
BTC_TREND_XST,XST,0.00000000
BTC_TREND_XSV,XSV,0.00000000
BTC_TREND_XUSD,XUSD,0.00000000
BTC_TREND_XVC,XVC,0.00000000
BTC_TREND_XXC,XXC,0.00000000
BTC_TREND_YACC,YACC,0.00000000
BTC_TREND_YANG,YANG,0.00000000
BTC_TREND_YC,YC,0.00000000
BTC_TREND_YIN,YIN,0.00000000
BTC_TREND_eTOK,eTOK,0.00000000
